Product,ProductFeature,SentimentCategory,SentimentScore,CommonIssues
Product_E,Functionality,Positive,0.64,Better alternatives exist
Product_B,Functionality,Negative,0.31,Wears out quickly
Product_E,Value for Money,Negative,0.33,Better alternatives exist
Product_C,Value for Money,Positive,0.71,Breaks easily
Product_C,Design,Negative,0.63,Poor aesthetics
Product_A,Durability,Negative,0.64,Breaks easily
Product_C,Durability,Neutral,0.89,Hard to understand
Product_D,Durability,Negative,0.61,Difficult to operate
Product_B,Value for Money,Negative,0.35,Too many steps
Product_C,Ease of Use,Negative,0.61,Limited features
Product_C,Durability,Neutral,0.63,Difficult to operate
Product_A,Durability,Positive,0.45,Too expensive
Product_E,Value for Money,Neutral,0.45,Looks outdated
Product_C,Value for Money,Negative,0.35,Wears out quickly
Product_B,Ease of Use,Positive,0.44,Breaks easily
Product_A,Functionality,Negative,0.46,Too expensive
Product_A,Design,Negative,0.57,Breaks easily
Product_A,Design,Positive,0.58,Breaks easily
Product_D,Durability,Positive,0.5,Breaks easily
Product_C,Value for Money,Negative,0.04,Poor aesthetics
Product_A,Ease of Use,Negative,0.68,Wears out quickly
Product_B,Functionality,Negative,0.3,Too many steps
Product_C,Functionality,Neutral,0.71,Wears out quickly
Product_C,Ease of Use,Neutral,0.57,Doesn't work as expected
Product_D,Design,Negative,0.31,Better alternatives exist
Product_C,Value for Money,Neutral,0.83,Doesn't work as expected
Product_C,Ease of Use,Neutral,0.56,Too expensive
Product_B,Design,Negative,0.65,Not worth the price
Product_D,Functionality,Negative,0.54,Hard to understand
Product_E,Design,Negative,0.24,Wears out quickly
Product_D,Value for Money,Positive,0.57,Poor aesthetics
Product_D,Ease of Use,Neutral,0.46,Better alternatives exist
Product_D,Ease of Use,Negative,0.56,Hard to understand
Product_E,Durability,Negative,0.43,Uncomfortable
Product_B,Functionality,Negative,0.28,Doesn't work as expected
Product_C,Value for Money,Neutral,0.63,Limited features
Product_B,Design,Positive,0.88,Too many steps
Product_B,Value for Money,Negative,0.39,Hard to understand
Product_A,Design,Positive,0.43,Breaks easily
Product_D,Durability,Positive,0.08,Wears out quickly
Product_A,Ease of Use,Neutral,0.17,Looks outdated
Product_A,Value for Money,Negative,0.54,Poor aesthetics
Product_D,Value for Money,Neutral,0.31,Doesn't work as expected
Product_A,Design,Negative,0.41,Hard to understand
Product_B,Functionality,Negative,0.09,Not worth the price
Product_E,Ease of Use,Positive,0.55,Looks outdated
Product_B,Ease of Use,Neutral,0.08,Too many steps
Product_C,Durability,Neutral,0.52,Poor aesthetics
Product_A,Durability,Neutral,0.42,Doesn't work as expected
Product_B,Ease of Use,Negative,1.22,Difficult to operate
Product_B,Ease of Use,Negative,0.11,Looks outdated
Product_B,Ease of Use,Negative,0.62,Breaks easily
Product_A,Ease of Use,Negative,0.49,Not worth the price
Product_B,Ease of Use,Negative,0.4,Not user-friendly
Product_D,Functionality,Positive,0.15,Poor aesthetics
Product_C,Design,Positive,0.51,Poor aesthetics
Product_D,Durability,Neutral,0.3,Not sturdy
Product_C,Functionality,Neutral,0.73,Not worth the price
Product_E,Ease of Use,Negative,0.24,Not user-friendly
Product_C,Design,Positive,0.25,Doesn't work as expected
Product_C,Design,Positive,0.66,Wears out quickly
Product_A,Durability,Neutral,0.58,Not worth the price
Product_B,Functionality,Neutral,0.29,Too expensive
Product_D,Design,Negative,0.66,Too expensive
Product_A,Ease of Use,Neutral,0.34,Not sturdy
Product_E,Value for Money,Neutral,0.49,Better alternatives exist
Product_D,Design,Positive,0.17,Wears out quickly
Product_B,Durability,Neutral,0.51,Not worth the price
Product_E,Durability,Neutral,0.32,Looks outdated
Product_A,Ease of Use,Positive,0.45,Doesn't work as expected
Product_D,Ease of Use,Neutral,0.32,Too many steps
Product_E,Functionality,Neutral,0.43,Not sturdy
Product_A,Durability,Neutral,0.15,Doesn't work as expected
Product_B,Ease of Use,Negative,0.46,Too expensive
Product_B,Functionality,Neutral,0.67,Not worth the price
Product_C,Functionality,Negative,0.27,Not user-friendly
Product_D,Ease of Use,Neutral,0.52,Limited features
Product_B,Ease of Use,Neutral,0.76,Too many steps
Product_E,Functionality,Positive,0.45,Not sturdy
Product_D,Durability,Negative,0.6,Poor aesthetics
Product_E,Value for Money,Positive,0.39,Not worth the price
Product_B,Functionality,Neutral,0.4,Not user-friendly
Product_E,Functionality,Positive,0.57,Poor aesthetics
Product_E,Ease of Use,Neutral,0.41,Difficult to operate
Product_D,Value for Money,Positive,0.45,Better alternatives exist
Product_B,Functionality,Positive,0.59,Too many steps
Product_B,Ease of Use,Positive,0.51,Difficult to operate
Product_D,Durability,Positive,0.34,Wears out quickly
Product_C,Value for Money,Positive,0.75,Breaks easily
Product_D,Functionality,Negative,0.62,Not worth the price
Product_A,Design,Negative,0.36,Not sturdy
Product_E,Ease of Use,Positive,0.3,Better alternatives exist
Product_C,Functionality,Neutral,0.52,Not sturdy
Product_E,Design,Negative,0.34,Too expensive
Product_D,Design,Positive,0.36,Too expensive
Product_C,Ease of Use,Positive,0.61,Poor aesthetics
Product_D,Functionality,Positive,0.76,Not sturdy
Product_B,Ease of Use,Neutral,0.69,Difficult to operate
Product_E,Durability,Negative,0.69,Poor aesthetics
Product_C,Functionality,Positive,0.35,Not worth the price
Product_C,Durability,Neutral,0.87,Too expensive
Product_B,Ease of Use,Positive,0.47,Poor aesthetics
Product_D,Ease of Use,Neutral,0.72,Wears out quickly
Product_B,Durability,Positive,0.64,Wears out quickly
Product_D,Ease of Use,Positive,0.88,Doesn't work as expected
Product_A,Durability,Neutral,0.48,Better alternatives exist
Product_B,Functionality,Negative,0.19,Better alternatives exist
Product_E,Ease of Use,Positive,0.66,Wears out quickly
Product_B,Value for Money,Positive,0.22,Not sturdy
Product_D,Design,Neutral,0.58,Not worth the price
Product_A,Value for Money,Neutral,0.72,Doesn't work as expected
Product_A,Ease of Use,Neutral,0.5,Doesn't work as expected
Product_E,Design,Neutral,0.67,Difficult to operate
Product_E,Value for Money,Neutral,0.23,Not user-friendly
Product_D,Ease of Use,Positive,0.57,Too many steps
Product_B,Functionality,Positive,0.71,Poor aesthetics
Product_A,Ease of Use,Positive,0.64,Not worth the price
Product_A,Ease of Use,Negative,0.65,Difficult to operate
Product_D,Functionality,Neutral,0.71,Limited features
Product_D,Value for Money,Neutral,0.89,Uncomfortable
Product_B,Value for Money,Neutral,0.74,Too many steps
Product_E,Functionality,Neutral,0.14,Not user-friendly
Product_E,Value for Money,Positive,0.52,Not sturdy
Product_B,Ease of Use,Positive,0.37,Uncomfortable
Product_C,Durability,Negative,1.0,Difficult to operate
Product_C,Ease of Use,Negative,0.77,Doesn't work as expected
Product_D,Durability,Neutral,0.55,Not worth the price
Product_E,Durability,Negative,0.2,Breaks easily
Product_C,Design,Negative,0.08,Too many steps
Product_D,Value for Money,Negative,0.56,Difficult to operate
Product_A,Durability,Negative,0.22,Limited features
Product_E,Ease of Use,Positive,0.55,Not sturdy
Product_A,Durability,Negative,0.69,Not worth the price
Product_C,Design,Negative,0.86,Breaks easily
Product_E,Durability,Negative,0.59,Not worth the price
Product_B,Ease of Use,Negative,0.75,Not worth the price
Product_E,Value for Money,Negative,0.61,Not user-friendly
Product_D,Value for Money,Positive,0.53,Not worth the price
Product_B,Ease of Use,Negative,0.77,Too expensive
Product_E,Durability,Negative,0.73,Not user-friendly
Product_A,Functionality,Positive,0.19,Too many steps
Product_D,Ease of Use,Neutral,0.59,Too expensive
Product_C,Ease of Use,Positive,0.58,Poor aesthetics
Product_D,Ease of Use,Neutral,0.35,Breaks easily
Product_D,Functionality,Neutral,-0.06,Breaks easily
Product_B,Durability,Negative,0.77,Hard to understand
Product_D,Functionality,Neutral,0.77,Looks outdated
Product_E,Functionality,Neutral,0.7,Too many steps
Product_E,Durability,Neutral,0.46,Hard to understand
Product_E,Design,Positive,0.44,Looks outdated
Product_C,Ease of Use,Negative,0.46,Not user-friendly
Product_C,Functionality,Negative,0.69,Breaks easily
Product_D,Durability,Neutral,0.46,Wears out quickly
Product_A,Durability,Negative,0.47,Not sturdy
Product_D,Value for Money,Neutral,0.22,Not sturdy
Product_A,Functionality,Positive,0.46,Uncomfortable
Product_E,Ease of Use,Positive,0.64,Difficult to operate
Product_C,Durability,Neutral,0.52,Looks outdated
Product_B,Durability,Positive,0.44,Difficult to operate
Product_A,Durability,Positive,0.67,Not user-friendly
Product_D,Functionality,Positive,0.71,Looks outdated
Product_E,Functionality,Positive,0.6,Hard to understand
Product_A,Durability,Negative,0.57,Uncomfortable
Product_A,Ease of Use,Negative,0.29,Better alternatives exist
Product_D,Ease of Use,Negative,0.41,Too expensive
Product_B,Ease of Use,Negative,0.94,Breaks easily
Product_B,Design,Negative,0.66,Better alternatives exist
Product_C,Value for Money,Negative,0.04,Wears out quickly
Product_D,Functionality,Positive,0.35,Not user-friendly
Product_D,Ease of Use,Positive,0.78,Looks outdated
Product_C,Design,Negative,0.66,Too many steps
Product_C,Durability,Positive,0.22,Not user-friendly
Product_B,Value for Money,Negative,0.42,Limited features
Product_E,Ease of Use,Positive,0.66,Too many steps
Product_A,Durability,Neutral,0.89,Hard to understand
Product_D,Ease of Use,Neutral,0.24,Not sturdy
Product_A,Ease of Use,Neutral,0.5,Hard to understand
Product_B,Durability,Negative,0.38,Wears out quickly
Product_E,Value for Money,Neutral,0.62,Too expensive
Product_A,Durability,Positive,0.39,Poor aesthetics
Product_D,Design,Negative,0.09,Not worth the price
Product_A,Functionality,Negative,0.92,Poor aesthetics
Product_C,Ease of Use,Neutral,0.29,Hard to understand
Product_A,Ease of Use,Neutral,0.55,Better alternatives exist
Product_B,Functionality,Positive,0.9,Poor aesthetics
Product_C,Design,Negative,0.14,Poor aesthetics
Product_D,Value for Money,Negative,0.72,Looks outdated
Product_B,Durability,Neutral,0.44,Uncomfortable
Product_B,Value for Money,Positive,0.48,Not worth the price
Product_A,Durability,Neutral,0.3,Breaks easily
Product_A,Value for Money,Neutral,0.72,Wears out quickly
Product_E,Ease of Use,Positive,0.49,Difficult to operate
Product_A,Value for Money,Neutral,0.36,Limited features
Product_A,Durability,Positive,0.57,Uncomfortable
Product_D,Durability,Negative,0.69,Limited features
Product_C,Design,Negative,0.76,Not worth the price
Product_C,Value for Money,Positive,0.5,Not sturdy
Product_B,Ease of Use,Negative,0.42,Not user-friendly
Product_A,Value for Money,Neutral,0.68,Poor aesthetics
Product_C,Value for Money,Positive,0.17,Not worth the price
Product_B,Functionality,Positive,0.42,Poor aesthetics
Product_C,Value for Money,Negative,0.38,Hard to understand
Product_A,Functionality,Neutral,0.35,Breaks easily
Product_C,Functionality,Negative,0.27,Breaks easily
Product_D,Value for Money,Negative,0.91,Doesn't work as expected
Product_B,Ease of Use,Neutral,0.41,Difficult to operate
Product_C,Ease of Use,Positive,0.63,Looks outdated
Product_C,Durability,Neutral,0.42,Too expensive
Product_B,Value for Money,Positive,0.38,Doesn't work as expected
Product_D,Ease of Use,Neutral,0.59,Difficult to operate
Product_E,Design,Positive,0.56,Breaks easily
Product_B,Durability,Negative,0.65,Too expensive
Product_B,Functionality,Neutral,0.16,Too many steps
Product_C,Design,Neutral,0.55,Difficult to operate
Product_D,Ease of Use,Positive,0.25,Wears out quickly
Product_D,Functionality,Negative,0.73,Doesn't work as expected
Product_B,Design,Neutral,0.87,Too many steps
Product_E,Value for Money,Neutral,0.83,Uncomfortable
Product_E,Value for Money,Neutral,0.74,Doesn't work as expected
Product_B,Durability,Neutral,1.04,Too many steps
Product_A,Ease of Use,Positive,0.42,Not user-friendly
Product_C,Design,Positive,0.62,Doesn't work as expected
Product_B,Functionality,Negative,0.44,Too many steps
Product_D,Durability,Positive,0.55,Not worth the price
Product_B,Durability,Neutral,0.47,Hard to understand
Product_B,Design,Positive,0.3,Looks outdated
Product_A,Value for Money,Negative,0.33,Hard to understand
Product_A,Functionality,Positive,0.52,Looks outdated
Product_D,Ease of Use,Positive,0.35,Not sturdy
Product_A,Functionality,Neutral,0.19,Uncomfortable
Product_B,Ease of Use,Positive,0.68,Not sturdy
Product_E,Value for Money,Neutral,0.48,Hard to understand
Product_B,Design,Neutral,0.75,Not worth the price
Product_B,Value for Money,Negative,0.47,Breaks easily
Product_D,Design,Positive,0.6,Not user-friendly
Product_B,Durability,Negative,0.37,Difficult to operate
Product_E,Durability,Positive,0.75,Better alternatives exist
Product_E,Design,Negative,0.97,Looks outdated
Product_E,Durability,Neutral,0.94,Uncomfortable
Product_D,Ease of Use,Neutral,0.66,Looks outdated
Product_D,Design,Neutral,0.69,Poor aesthetics
Product_E,Functionality,Negative,0.45,Better alternatives exist
Product_E,Durability,Negative,0.64,Not sturdy
Product_C,Design,Neutral,0.89,Uncomfortable
Product_E,Value for Money,Positive,0.44,Difficult to operate
Product_A,Value for Money,Neutral,0.74,Too expensive
Product_A,Functionality,Neutral,0.59,Not sturdy
Product_A,Durability,Positive,0.99,Too many steps
Product_E,Value for Money,Negative,0.4,Difficult to operate
Product_B,Design,Positive,0.54,Limited features
Product_D,Functionality,Neutral,0.47,Not sturdy
Product_B,Ease of Use,Positive,0.82,Not user-friendly
Product_A,Value for Money,Negative,0.51,Breaks easily
Product_C,Ease of Use,Negative,0.47,Difficult to operate
Product_B,Value for Money,Neutral,0.54,Limited features
Product_A,Ease of Use,Neutral,0.4,Not worth the price
Product_E,Functionality,Negative,0.35,Limited features
Product_C,Durability,Negative,0.51,Not user-friendly
Product_A,Ease of Use,Neutral,0.44,Hard to understand
Product_A,Functionality,Negative,0.16,Looks outdated
Product_E,Value for Money,Negative,0.74,Not worth the price
Product_A,Durability,Negative,0.38,Uncomfortable
Product_D,Design,Neutral,0.58,Uncomfortable
Product_A,Ease of Use,Negative,0.57,Poor aesthetics
Product_E,Durability,Negative,0.6,Not worth the price
Product_A,Durability,Neutral,0.32,Poor aesthetics
Product_A,Value for Money,Neutral,0.2,Hard to understand
Product_C,Ease of Use,Negative,0.15,Limited features
Product_B,Functionality,Negative,0.43,Too expensive
Product_C,Value for Money,Positive,0.63,Not sturdy
Product_C,Ease of Use,Positive,0.65,Too many steps
Product_D,Ease of Use,Neutral,0.68,Uncomfortable
Product_E,Design,Negative,0.43,Too expensive
Product_D,Ease of Use,Neutral,0.68,Breaks easily
Product_D,Functionality,Neutral,0.6,Too many steps
Product_C,Functionality,Negative,0.33,Looks outdated
Product_A,Functionality,Neutral,0.88,Limited features
Product_A,Value for Money,Positive,0.28,Hard to understand
Product_B,Value for Money,Neutral,0.53,Poor aesthetics
Product_E,Functionality,Positive,0.32,Too many steps
Product_D,Ease of Use,Neutral,0.26,Doesn't work as expected
Product_D,Design,Positive,0.41,Too many steps
Product_B,Value for Money,Neutral,0.69,Poor aesthetics
Product_A,Design,Negative,0.28,Doesn't work as expected
Product_D,Functionality,Neutral,0.44,Wears out quickly
Product_D,Functionality,Negative,0.02,Not worth the price
Product_B,Functionality,Neutral,0.58,Not sturdy
Product_D,Design,Neutral,0.55,Difficult to operate
Product_A,Ease of Use,Neutral,0.21,Too many steps
Product_C,Design,Negative,0.72,Wears out quickly
Product_A,Design,Negative,0.17,Not user-friendly
Product_B,Functionality,Positive,0.66,Limited features
Product_E,Functionality,Negative,0.53,Breaks easily
Product_C,Value for Money,Neutral,0.97,Doesn't work as expected
Product_E,Ease of Use,Positive,0.43,Too expensive
Product_E,Ease of Use,Neutral,0.5,Uncomfortable
Product_D,Ease of Use,Neutral,0.73,Hard to understand
Product_C,Functionality,Neutral,0.77,Poor aesthetics
Product_D,Ease of Use,Negative,0.71,Limited features
Product_C,Functionality,Negative,0.29,Breaks easily
Product_B,Ease of Use,Negative,0.66,Difficult to operate
Product_A,Functionality,Positive,0.52,Uncomfortable
Product_B,Value for Money,Negative,0.63,Too many steps
Product_E,Functionality,Neutral,0.86,Doesn't work as expected
Product_B,Functionality,Negative,0.78,Not sturdy
Product_B,Functionality,Negative,0.58,Poor aesthetics
Product_E,Ease of Use,Neutral,0.51,Breaks easily
Product_C,Functionality,Negative,0.45,Breaks easily
Product_C,Durability,Negative,0.4,Not sturdy
Product_A,Ease of Use,Neutral,0.29,Uncomfortable
Product_D,Functionality,Neutral,0.54,Better alternatives exist
Product_D,Value for Money,Positive,0.45,Uncomfortable
Product_C,Value for Money,Positive,0.25,Too many steps
Product_E,Design,Neutral,0.83,Too expensive
Product_C,Design,Neutral,0.76,Not worth the price
Product_D,Value for Money,Negative,0.44,Poor aesthetics
Product_E,Design,Negative,0.51,Looks outdated
Product_D,Durability,Neutral,0.53,Looks outdated
Product_B,Durability,Negative,0.29,Breaks easily
Product_E,Durability,Positive,0.34,Wears out quickly
Product_C,Ease of Use,Neutral,0.28,Looks outdated
Product_D,Value for Money,Positive,0.48,Not user-friendly
Product_E,Durability,Neutral,0.49,Breaks easily
Product_C,Design,Neutral,0.42,Uncomfortable
Product_D,Functionality,Negative,0.18,Too expensive
Product_E,Ease of Use,Negative,0.73,Not worth the price
Product_D,Durability,Negative,0.43,Difficult to operate
Product_E,Functionality,Positive,0.48,Looks outdated
Product_D,Value for Money,Positive,0.47,Looks outdated
Product_B,Value for Money,Neutral,0.25,Hard to understand
Product_D,Value for Money,Negative,0.27,Too many steps
Product_C,Functionality,Positive,0.42,Difficult to operate
Product_E,Durability,Positive,0.74,Hard to understand
Product_B,Ease of Use,Neutral,0.19,Poor aesthetics
Product_C,Ease of Use,Neutral,0.77,Too many steps
Product_C,Ease of Use,Positive,0.37,Uncomfortable
Product_B,Design,Neutral,0.65,Breaks easily
Product_A,Functionality,Positive,0.38,Limited features
Product_D,Durability,Neutral,0.57,Poor aesthetics
Product_C,Design,Neutral,0.16,Not user-friendly
Product_B,Durability,Negative,0.48,Too expensive
Product_A,Ease of Use,Positive,0.51,Better alternatives exist
Product_B,Durability,Negative,0.57,Hard to understand
Product_B,Ease of Use,Negative,0.46,Poor aesthetics
Product_A,Ease of Use,Positive,0.74,Too many steps
Product_C,Durability,Negative,0.6,Limited features
Product_A,Value for Money,Neutral,0.2,Not worth the price
Product_D,Design,Positive,0.32,Wears out quickly
Product_C,Durability,Negative,0.59,Not sturdy
Product_D,Value for Money,Positive,0.41,Limited features
Product_A,Functionality,Negative,0.54,Limited features
Product_C,Design,Neutral,0.57,Looks outdated
Product_D,Value for Money,Positive,0.28,Difficult to operate
Product_B,Value for Money,Positive,0.73,Not worth the price
Product_B,Functionality,Negative,0.77,Too expensive
Product_D,Ease of Use,Neutral,0.37,Doesn't work as expected
Product_B,Functionality,Positive,0.45,Wears out quickly
Product_D,Functionality,Negative,0.82,Hard to understand
Product_D,Durability,Neutral,0.13,Looks outdated
Product_C,Ease of Use,Negative,0.03,Looks outdated
Product_D,Design,Neutral,0.49,Limited features
Product_D,Ease of Use,Positive,0.51,Too expensive
Product_C,Functionality,Positive,0.64,Too expensive
Product_E,Value for Money,Neutral,0.64,Not worth the price
Product_E,Value for Money,Positive,0.25,Not sturdy
Product_E,Ease of Use,Positive,0.79,Hard to understand
Product_A,Functionality,Negative,0.07,Poor aesthetics
Product_B,Ease of Use,Positive,0.15,Not user-friendly
Product_A,Durability,Neutral,0.64,Not worth the price
Product_E,Functionality,Neutral,0.27,Doesn't work as expected
Product_C,Functionality,Positive,0.77,Not sturdy
Product_A,Design,Neutral,0.52,Not worth the price
Product_D,Functionality,Positive,0.52,Not user-friendly
Product_D,Functionality,Positive,0.46,Not sturdy
Product_A,Ease of Use,Neutral,0.53,Breaks easily
Product_B,Value for Money,Neutral,0.89,Too expensive
Product_B,Ease of Use,Positive,0.47,Not sturdy
Product_C,Durability,Negative,0.47,Looks outdated
Product_C,Functionality,Positive,0.71,Uncomfortable
Product_C,Design,Positive,0.6,Limited features
Product_D,Value for Money,Neutral,0.44,Difficult to operate
Product_D,Value for Money,Negative,0.45,Poor aesthetics
Product_E,Ease of Use,Negative,0.43,Hard to understand
Product_A,Value for Money,Negative,0.22,Not worth the price
Product_C,Value for Money,Positive,0.51,Better alternatives exist
Product_B,Functionality,Neutral,0.02,Breaks easily
Product_E,Value for Money,Neutral,0.7,Breaks easily
Product_C,Functionality,Negative,0.57,Doesn't work as expected
Product_C,Design,Neutral,0.39,Hard to understand
Product_D,Functionality,Neutral,0.38,Not sturdy
Product_B,Value for Money,Negative,0.45,Not user-friendly
Product_D,Ease of Use,Neutral,0.66,Poor aesthetics
Product_B,Durability,Positive,0.82,Too many steps
Product_A,Durability,Positive,0.81,Breaks easily
Product_E,Durability,Positive,0.24,Difficult to operate
Product_E,Durability,Neutral,0.09,Not sturdy
Product_D,Ease of Use,Negative,0.14,Better alternatives exist
Product_E,Value for Money,Negative,0.35,Looks outdated
Product_C,Functionality,Positive,0.48,Not worth the price
Product_C,Design,Neutral,0.63,Difficult to operate
Product_D,Value for Money,Neutral,0.18,Looks outdated
Product_D,Design,Negative,0.27,Wears out quickly
Product_C,Value for Money,Negative,0.46,Poor aesthetics
Product_A,Value for Money,Neutral,0.82,Hard to understand
Product_A,Ease of Use,Positive,0.51,Wears out quickly
Product_C,Ease of Use,Positive,0.46,Uncomfortable
Product_D,Durability,Negative,0.36,Limited features
Product_E,Value for Money,Negative,0.4,Not sturdy
Product_B,Ease of Use,Negative,0.59,Looks outdated
Product_B,Functionality,Neutral,0.5,Looks outdated
Product_A,Value for Money,Positive,0.36,Limited features
Product_A,Durability,Positive,0.37,Uncomfortable
Product_B,Design,Positive,0.74,Not user-friendly
Product_A,Functionality,Negative,0.53,Not user-friendly
Product_D,Ease of Use,Neutral,0.38,Looks outdated
Product_C,Value for Money,Positive,0.49,Not sturdy
Product_D,Ease of Use,Neutral,0.28,Difficult to operate
Product_E,Ease of Use,Neutral,0.57,Difficult to operate
Product_B,Design,Positive,0.25,Better alternatives exist
Product_B,Value for Money,Negative,0.71,Limited features
Product_D,Value for Money,Neutral,0.44,Too expensive
Product_B,Value for Money,Negative,0.63,Doesn't work as expected
Product_A,Value for Money,Neutral,0.66,Better alternatives exist
Product_C,Value for Money,Negative,0.6,Poor aesthetics
Product_E,Durability,Positive,0.6,Poor aesthetics
Product_E,Ease of Use,Negative,0.32,Too many steps
Product_E,Value for Money,Negative,0.57,Uncomfortable
Product_C,Design,Neutral,0.43,Looks outdated
Product_A,Durability,Neutral,0.49,Not worth the price
Product_A,Ease of Use,Negative,0.66,Looks outdated
Product_B,Durability,Negative,0.43,Doesn't work as expected
Product_B,Ease of Use,Positive,0.29,Difficult to operate
Product_D,Value for Money,Negative,0.35,Poor aesthetics
Product_D,Design,Positive,0.45,Hard to understand
Product_D,Functionality,Positive,0.68,Too many steps
Product_C,Value for Money,Negative,0.2,Looks outdated
Product_B,Functionality,Positive,0.46,Better alternatives exist
Product_C,Ease of Use,Neutral,0.32,Better alternatives exist
Product_D,Ease of Use,Neutral,0.58,Difficult to operate
Product_C,Ease of Use,Neutral,0.54,Doesn't work as expected
Product_D,Value for Money,Negative,0.41,Limited features
Product_B,Value for Money,Negative,0.36,Too expensive
Product_E,Ease of Use,Positive,0.76,Hard to understand
Product_B,Design,Neutral,0.37,Not worth the price
Product_B,Design,Negative,0.93,Looks outdated
Product_C,Design,Positive,-0.2,Not sturdy
Product_B,Value for Money,Negative,0.07,Not user-friendly
Product_D,Value for Money,Neutral,0.61,Limited features
Product_A,Durability,Positive,0.37,Not worth the price
Product_B,Value for Money,Neutral,0.05,Doesn't work as expected
Product_E,Ease of Use,Negative,0.54,Difficult to operate
Product_B,Durability,Neutral,0.39,Difficult to operate
Product_D,Ease of Use,Neutral,0.6,Uncomfortable
Product_B,Ease of Use,Neutral,0.64,Hard to understand
Product_B,Durability,Neutral,0.79,Uncomfortable
Product_C,Functionality,Negative,0.36,Better alternatives exist
Product_A,Value for Money,Neutral,0.59,Better alternatives exist
Product_D,Design,Neutral,0.62,Wears out quickly
Product_C,Durability,Positive,0.61,Not user-friendly
Product_C,Ease of Use,Negative,0.59,Uncomfortable
Product_C,Value for Money,Negative,0.61,Too expensive
Product_D,Design,Neutral,0.28,Difficult to operate
Product_C,Design,Negative,0.62,Too expensive
Product_B,Ease of Use,Negative,0.74,Hard to understand
Product_A,Value for Money,Negative,0.12,Better alternatives exist
Product_E,Design,Neutral,0.82,Too expensive
Product_B,Durability,Neutral,0.76,Not worth the price
Product_B,Design,Negative,-0.01,Too expensive
Product_B,Value for Money,Positive,0.46,Breaks easily
Product_B,Design,Positive,0.32,Looks outdated
Product_A,Durability,Positive,0.78,Uncomfortable
Product_A,Functionality,Neutral,0.38,Looks outdated
Product_B,Ease of Use,Negative,0.44,Wears out quickly
Product_B,Design,Positive,0.24,Wears out quickly
Product_D,Value for Money,Negative,0.39,Better alternatives exist
Product_A,Ease of Use,Negative,0.56,Uncomfortable
Product_D,Durability,Positive,0.76,Not worth the price
Product_C,Value for Money,Neutral,0.44,Difficult to operate
Product_E,Ease of Use,Negative,0.62,Better alternatives exist
Product_E,Value for Money,Neutral,0.68,Looks outdated
Product_A,Ease of Use,Neutral,0.7,Breaks easily
Product_A,Design,Negative,0.8,Too many steps
Product_A,Durability,Positive,0.42,Difficult to operate
Product_D,Value for Money,Neutral,0.42,Not sturdy
Product_D,Functionality,Neutral,0.45,Wears out quickly
Product_C,Ease of Use,Neutral,0.39,Wears out quickly
Product_D,Durability,Positive,0.65,Poor aesthetics
Product_D,Functionality,Positive,0.39,Hard to understand
Product_E,Value for Money,Neutral,0.73,Too many steps
Product_D,Value for Money,Positive,0.77,Hard to understand
Product_A,Functionality,Negative,1.2,Difficult to operate
Product_E,Value for Money,Neutral,0.67,Wears out quickly
Product_E,Ease of Use,Positive,0.56,Limited features
Product_B,Durability,Negative,0.41,Not sturdy
Product_A,Value for Money,Neutral,0.54,Too many steps
Product_E,Functionality,Neutral,0.23,Uncomfortable
Product_A,Durability,Negative,1.21,Too many steps
Product_E,Design,Positive,0.46,Doesn't work as expected
Product_B,Functionality,Neutral,0.67,Not user-friendly
Product_C,Value for Money,Negative,0.37,Looks outdated
Product_C,Functionality,Negative,0.48,Too expensive
Product_B,Value for Money,Neutral,0.57,Not sturdy
Product_D,Design,Negative,0.63,Not sturdy
Product_C,Functionality,Positive,0.79,Not worth the price
Product_A,Ease of Use,Neutral,0.4,Better alternatives exist
Product_E,Ease of Use,Negative,0.38,Doesn't work as expected
Product_B,Ease of Use,Neutral,0.58,Breaks easily
Product_E,Ease of Use,Positive,0.27,Limited features
Product_C,Functionality,Positive,0.84,Not sturdy
Product_C,Durability,Positive,0.88,Doesn't work as expected
Product_A,Value for Money,Positive,0.89,Not worth the price
Product_D,Ease of Use,Positive,0.81,Breaks easily
Product_E,Ease of Use,Neutral,0.27,Better alternatives exist
Product_A,Functionality,Positive,0.2,Limited features
Product_C,Durability,Neutral,0.35,Looks outdated
Product_C,Functionality,Positive,0.22,Better alternatives exist
Product_C,Design,Positive,0.58,Poor aesthetics
Product_E,Durability,Negative,0.12,Too expensive
Product_A,Value for Money,Negative,0.76,Wears out quickly
Product_A,Functionality,Negative,0.54,Difficult to operate
Product_B,Functionality,Positive,0.44,Doesn't work as expected
Product_B,Durability,Negative,0.49,Breaks easily
Product_A,Functionality,Negative,0.54,Too expensive
Product_C,Durability,Negative,0.24,Limited features
Product_E,Value for Money,Neutral,0.33,Better alternatives exist
Product_B,Functionality,Negative,0.81,Difficult to operate
Product_D,Functionality,Neutral,0.73,Better alternatives exist
Product_B,Durability,Negative,0.37,Breaks easily
Product_A,Functionality,Negative,0.87,Not sturdy
Product_B,Ease of Use,Neutral,0.42,Doesn't work as expected
Product_A,Design,Neutral,0.33,Breaks easily
Product_E,Durability,Negative,0.18,Breaks easily
Product_E,Durability,Neutral,0.35,Wears out quickly
Product_C,Ease of Use,Negative,0.44,Not sturdy
Product_B,Design,Negative,0.62,Better alternatives exist
Product_E,Durability,Neutral,0.25,Looks outdated
